Postcode,Court number,Court name
ME130QA,163,Canterbury
TN248HE,163,Canterbury
TN248JX,163,Canterbury
TN248BE,163,Canterbury
TN234,163,Canterbury
TN236,163,Canterbury
TN235,163,Canterbury
ME139,163,Canterbury
ME138,163,Canterbury
ME137,163,Canterbury
CT28,163,Canterbury
CT27,163,Canterbury
CT20,163,Canterbury
CT196,163,Canterbury
CT195,163,Canterbury
CT194,163,Canterbury
CT188,163,Canterbury
CT187,163,Canterbury
CF48,164,Cardiff
CF49,164,Cardiff
CF51,164,Cardiff
CF54,164,Cardiff
CF55,164,Cardiff
CF53,164,Cardiff
CF52,164,Cardiff
CF78,164,Cardiff
CF39,164,Cardiff
CF37,164,Cardiff
CF30,164,Cardiff
CF27,164,Cardiff
CF25,164,Cardiff
CF24,164,Cardiff
CF23,164,Cardiff
CF22,164,Cardiff
CF21,164,Cardiff
CF19,164,Cardiff
CF18,164,Cardiff
CF17,164,Cardiff
CF16,164,Cardiff
CF15,164,Cardiff
CF14,164,Cardiff
CF13,164,Cardiff
CF12,164,Cardiff
CF83,164,Cardiff
CF,164,Cardiff
CF47,164,Cardiff
CF46,164,Cardiff
CF45,164,Cardiff
CF44,164,Cardiff
CF43,164,Cardiff
CF42,164,Cardiff
CF41,164,Cardiff
CF116FS,164,Cardiff
CF240GE,164,Cardiff
CF117AX,164,Cardiff
CF119DB,164,Cardiff
CF241EN,164,Cardiff
CF119PN,164,Cardiff
CF117HJ,164,Cardiff
CF117LW,164,Cardiff
CF116JN,164,Cardiff
CF116SU,164,Cardiff
CF116EY,164,Cardiff
CF116ES,164,Cardiff
CF241EX,164,Cardiff
CF116NH,164,Cardiff
CF117HD,164,Cardiff
CF116LD,164,Cardiff
CF116LG,164,Cardiff
CF116JR,164,Cardiff
CF38RN,164,Cardiff
CF38QA,164,Cardiff
CF38DW,164,Cardiff
CF38DX,164,Cardiff
CF833NQ,164,Cardiff
CF831QR,164,Cardiff
CF38DL,164,Cardiff
CF119,164,Cardiff
CF616SP,164,Cardiff
CF833BH,164,Cardiff
CF119PL,164,Cardiff
CF117,164,Cardiff
CF56QJ,164,Cardiff
CF118,164,Cardiff
CF110JJ,164,Cardiff
CF833,164,Cardiff
CF110JA,164,Cardiff
CF110AL,164,Cardiff
CS33RB,164,Cardiff
CF833EY,164,Cardiff
CF119BG,164,Cardiff
CF38AU,164,Cardiff
CF110,164,Cardiff
CF833QL,164,Cardiff
CF116,164,Cardiff
CF117BD,164,Cardiff
CF116LS,164,Cardiff
CF833QR,164,Cardiff
CF119BU,164,Cardiff
CF117DY,164,Cardiff
CF38DZ,164,Cardiff
CF11DJ,164,Cardiff
CF116FR,164,Cardiff
CF117TK,164,Cardiff
CF237PJ,164,Cardiff
CF117BW,164,Cardiff
CF119LE,164,Cardiff
CF116HY,164,Cardiff
CF117DL,164,Cardiff
CF116JU,164,Cardiff
CF118AN,164,Cardiff
CF119EB,164,Cardiff
CF118BQ,164,Cardiff
CF117TQ,164,Cardiff
CF117DN,164,Cardiff
CF116EG,164,Cardiff
CF117HG,164,Cardiff
CF117EU,164,Cardiff
CF118BP,164,Cardiff
CF118JN,164,Cardiff
CF119JB,164,Cardiff
CF119NE,164,Cardiff
CF110SP,164,Cardiff
CF116RF,164,Cardiff
CF117PD,164,Cardiff
CF118AL,164,Cardiff
CF116NX,164,Cardiff
CF118DT,164,Cardiff
CF116SW,164,Cardiff
CF241JY,164,Cardiff
CF116QP,164,Cardiff
CF119EX,164,Cardiff
CF117EX,164,Cardiff
CF119HX,164,Cardiff
CF110JB,164,Cardiff
CF116SB,164,Cardiff
CF117EH,164,Cardiff
CF832,164,Cardiff
CF83,164,Cardiff
CF82,164,Cardiff
CF81,164,Cardiff
CF56,164,Cardiff
CA11,165,Carlisle
CA101,165,Carlisle
CA103,165,Carlisle
CA117,165,Carlisle
CA67,165,Carlisle
CA66,165,Carlisle
CA65,165,Carlisle
CA64,165,Carlisle
CA57,165,Carlisle
CA56,165,Carlisle
CA55,165,Carlisle
CA54,165,Carlisle
CA53,165,Carlisle
CA52,165,Carlisle
CA51,165,Carlisle
CA49,165,Carlisle
CA48,165,Carlisle
CA40,165,Carlisle
CA39,165,Carlisle
CA38,165,Carlisle
CA30,165,Carlisle
NE490,165,Carlisle
CA27,165,Carlisle
CA26,165,Carlisle
CA25,165,Carlisle
CA24,165,Carlisle
CA166,165,Carlisle
CA156,165,Carlisle
CA119,165,Carlisle
CA118,165,Carlisle
CA8,165,Carlisle
CA72PN,165,Carlisle
CA85UL,165,Carlisle
CA75AN,165,Carlisle
CA72PS,165,Carlisle
CA87DR,165,Carlisle
CA22PN,165,Carlisle
CA87LB,165,Carlisle
CA71BD,165,Carlisle
CA89AG,165,Carlisle
CA75JT,165,Carlisle
CA75AA,165,Carlisle
CA71BP,165,Carlisle
CA27NL,165,Carlisle
CA71BN,165,Carlisle
CA72PD,165,Carlisle
CA75AF,165,Carlisle
CA87LA,165,Carlisle
CA40LR,165,Carlisle
CA74,165,Carlisle
CA73,165,Carlisle
LA14,165,Carlisle
CA93,165,Carlisle
CA82,165,Carlisle
CA81,165,Carlisle
CA79,165,Carlisle
CA78,165,Carlisle
CA70,165,Carlisle
CA110,165,Carlisle
CA102,165,Carlisle
CA13,165,Carlisle
CA12,165,Carlisle
SA175,166,Carmarthen
SA198,166,Carmarthen
SA200,166,Carmarthen
SA312,166,Carmarthen
SA327,166,Carmarthen
SA334,166,Carmarthen
SA413,166,Carmarthen
SA409,166,Carmarthen
SA399,166,Carmarthen
